Country,Region
Aruba,Latin America & Caribbean
Afghanistan,South Asia
Angola,Sub-Saharan Africa
Albania,Europe & Central Asia
Andorra,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
American Samoa,East Asia & Pacific
Antigua and Barbuda,Latin America & Caribbean
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Burundi,Sub-Saharan Africa
Belgium,Europe & Central Asia
Benin,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Bangladesh,South Asia
Bulgaria,Europe & Central Asia
Bahrain,Middle East & North Africa
"Bahamas, The",Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Belarus,Europe & Central Asia
Belize,Latin America & Caribbean
Bermuda,North America
Bolivia,Latin America & Caribbean
Brazil,Latin America & Caribbean
Barbados,Latin America & Caribbean
Brunei Darussalam,East Asia & Pacific
Bhutan,South Asia
Botswana,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Canada,North America
Switzerland,Europe & Central Asia
Channel Islands,Europe & Central Asia
Chile,Latin America & Caribbean
China,East Asia & Pacific
Cote d'Ivoire,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Costa Rica,Latin America & Caribbean
Cuba,Latin America & Caribbean
Curacao,Latin America & Caribbean
Cayman Islands,Latin America & Caribbean
Cyprus,Europe & Central Asia
Czech Republic,Europe & Central Asia
Germany,Europe & Central Asia
Djibouti,Middle East & North Africa
Dominica,Latin America & Caribbean
Denmark,Europe & Central Asia
Dominican Republic,Latin America & Caribbean
Algeria,Middle East & North Africa
Ecuador,Latin America & Caribbean
Egypt,Middle East & North Africa
Eritrea,Sub-Saharan Africa
Spain,Europe & Central Asia
Estonia,Europe & Central Asia
Ethiopia,Sub-Saharan Africa
Finland,Europe & Central Asia
Fiji,East Asia & Pacific
France,Europe & Central Asia
Faroe Islands,Europe & Central Asia
"Micronesia, Fed. Sts.",East Asia & Pacific
Gabon,Sub-Saharan Africa
United Kingdom,Europe & Central Asia
Georgia,Europe & Central Asia
Ghana,Sub-Saharan Africa
Gibraltar,Europe & Central Asia
Guinea,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Greece,Europe & Central Asia
Grenada,Latin America & Caribbean
Greenland,Europe & Central Asia
Guatemala,Latin America & Caribbean
Guam,East Asia & Pacific
Guyana,Latin America & Caribbean
"Hong Kong SAR, China",East Asia & Pacific
Honduras,Latin America & Caribbean
Croatia,Europe & Central Asia
Haiti,Latin America & Caribbean
Hungary,Europe & Central Asia
Indonesia,East Asia & Pacific
Isle of Man,Europe & Central Asia
India,South Asia
Ireland,Europe & Central Asia
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Iceland,Europe & Central Asia
Israel,Middle East & North Africa
Italy,Europe & Central Asia
Jamaica,Latin America & Caribbean
Jordan,Middle East & North Africa
Japan,East Asia & Pacific
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kyrgyzstan,Europe & Central Asia
Cambodia,East Asia & Pacific
Kiribati,East Asia & Pacific
St. Kitts and Nevis,Latin America & Caribbean
South Korea,East Asia & Pacific
Kuwait,Middle East & North Africa
Lao PDR,East Asia & Pacific
Lebanon,Middle East & North Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
St. Lucia,Latin America & Caribbean
Liechtenstein,Europe & Central Asia
Sri Lanka,South Asia
Lesotho,Sub-Saharan Africa
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
Latvia,Europe & Central Asia
"Macao SAR, China",East Asia & Pacific
St. Martin (French part),Latin America & Caribbean
Morocco,Middle East & North Africa
Monaco,Europe & Central Asia
Moldova,Europe & Central Asia
Madagascar,Sub-Saharan Africa
Maldives,South Asia
Mexico,Latin America & Caribbean
Marshall Islands,East Asia & Pacific
"Macedonia, FYR",Europe & Central Asia
Mali,Sub-Saharan Africa
Malta,Middle East & North Africa
Myanmar,East Asia & Pacific
Montenegro,Europe & Central Asia
Mongolia,East Asia & Pacific
Northern Mariana Islands,East Asia & Pacific
Mozambique,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Namibia,Sub-Saharan Africa
New Caledonia,East Asia & Pacific
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Nicaragua,Latin America & Caribbean
Netherlands,Europe & Central Asia
Norway,Europe & Central Asia
Nepal,South Asia
Nauru,East Asia & Pacific
New Zealand,East Asia & Pacific
Oman,Middle East & North Africa
Pakistan,South Asia
Panama,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Palau,East Asia & Pacific
Papua New Guinea,East Asia & Pacific
Poland,Europe & Central Asia
Puerto Rico,Latin America & Caribbean
"Korea, Dem. Peopleâ€™s Rep.",East Asia & Pacific
Portugal,Europe & Central Asia
Paraguay,Latin America & Caribbean
West Bank and Gaza,Middle East & North Africa
French Polynesia,East Asia & Pacific
Qatar,Middle East & North Africa
Romania,Europe & Central Asia
Russian,Europe & Central Asia
Rwanda,Sub-Saharan Africa
Saudi Arabia,Middle East & North Africa
Sudan,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Singapore,East Asia & Pacific
Solomon Islands,East Asia & Pacific
Sierra Leone,Sub-Saharan Africa
El Salvador,Latin America & Caribbean
San Marino,Europe & Central Asia
Somalia,Sub-Saharan Africa
Serbia,Europe & Central Asia
South Sudan,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Suriname,Latin America & Caribbean
Slovakia,Europe & Central Asia
Slovenia,Europe & Central Asia
Sweden,Europe & Central Asia
Swaziland,Sub-Saharan Africa
Sint Maarten (Dutch part),Latin America & Caribbean
Seychelles,Sub-Saharan Africa
Syrian Arab Republic,Middle East & North Africa
Turks and Caicos Islands,Latin America & Caribbean
Chad,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Thailand,East Asia & Pacific
Tajikistan,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Timor-Leste,East Asia & Pacific
Tonga,East Asia & Pacific
Trinidad and Tobago,Latin America & Caribbean
Tunisia,Middle East & North Africa
Turkey,Europe & Central Asia
Tuvalu,East Asia & Pacific
Tanzania,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
Uruguay,Latin America & Caribbean
United States,North America
Uzbekistan,Europe & Central Asia
St. Vincent and the Grenadines,Latin America & Caribbean
Venezuela,Latin America & Caribbean
British Virgin Islands,Latin America & Caribbean
Virgin Islands (U.S.),Latin America & Caribbean
Vietnam,East Asia & Pacific
Vanuatu,East Asia & Pacific
Samoa,East Asia & Pacific
Kosovo,Europe & Central Asia
Yemen,Middle East & North Africa
South Africa,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Ivory Coast,Sub-Saharan Africa
Laos,East Asia & Pacific
North Korea,East Asia & Pacific
Syria,Middle East & North Africa